Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
you Arabian bird!,ethnicity__nationality,animals,,,,,
"hearts, tongues, figures, scribes, bards, poets, cannot Think, speak, cast, write, sing, number, ho! His love to Antony.",anatomy,language,art,mental_faculty__state__entities,music,emotions,
"They are his shards, and he their beetle.",anatomy,animals,,,,,
"prove such a wife As my thoughts make thee,",etiquette,matrimony,mental_faculty__state__entities,,,,
"Let not the piece of virtue, which is set Betwixt us as the cement of our love, To keep it builded, be the ram to batter The fortress of it",resistance,ethics,spatial,architecture,emotions,preservation,violence
"the gods keep you, And make the hearts of Romans serve your ends!",religion,preservation,anatomy,politics,social_relations,,
"The April 's in her eyes: it is love's spring, And these the showers to bring it on.",time,anatomy,emotions,nature,,,
"Her tongue will not obey her heart, nor can Her heart inform her tongue the swan's down-feather, That stands upon the swell at full of tide, And neither way inclines.",anatomy,commands,language,animals,physical_activities,nature,spatial
He has a cloud in 's face.,nature,anatomy,,,,,
"He were the worse for that, were he a horse; So is he, being a man.",suffering,equestrian,men,,,,
"I'll wrestle with you in my strength of love: her I have you; thus I let you go, And give you to the gods.",violence,physical_attributes,emotions,privation,religion,,
Let all the number of the stars give light To your fair way!,quantities,astrology,light,spatial,,,
Herod of Jewry dare not look upon you But when you are well pleased. -That Herod's head I'll have [cutt off],politics,resistance,sensations,feelings,anatomy,violence,
"dull of tongue, and dwarfish! What majesty is in her gait",mental_faculty__state__entities,anatomy,deformities__disabilities,politics,movement,,
"She shows a body rather than a life, A statue than a breather.",appearance,anatomy,life,art,breathing,,
"Spoke scantly of me: when perforce he could not But pay me terms of honour, cold and sickly He vented them",language,economics,recognition,temperature,medicine,,
"When the best hint was given him, he not took't, Or did it [Spoke praise] from his teeth.",language,recognition,anatomy,,,,
"Believe not all; or, if you must believe, Stomach not all. ",mental_faculty__state__entities,food,,,,,
"Let your best love draw to that point, which seeks Best to preserve it",emotions,physical_activities,spatial,discovering,preservation,,
"if I lose mine honour, I lose myself: better I were not yours [husband] Than yours so branchless.",privation,recognition,character_traits__nature,matrimony,nature,,
a war Shall stain,military,cleaning,,,,,
"Wars 'twixt you twain would be As if the world should cleave, and that slain men Should solder up the rift.",military,nature,violence,social_relations,,,
"our faults Can never be so equal, that your love Can equally move with them.",character_traits__nature,quantities,emotions,movement,,,
command what cost Your heart has mind to.,commands,economics,anatomy,mental_faculty__state__entities,,,
"the poor third [sovereign] is up, till death enlarge his confine.",politics,death,size,incarceration,,,
"throw between them all the food you hast, They'll grind the one the other.",spatial,food,violence,,,,
"[the people] Who, queasy with his insolence Already, will their good thoughts call from him.",politics,medicine,derision__offense___contempt,mental_faculty__state__entities,privation,,
The neighs of horse to tell of her [wife and sister] approach Long ere she did appear; ,sounds,equestrian,language,matrimony,familial,appearance,time
[the approach of the wife and sister] the trees by the way Should have borne men; and ,appearance,matrimony,familial,nature,spatial,labor,men
"[the approach of the wife and sister] expectation fainted, Longing for what it had not; ",appearance,matrimony,familial,emotions,privation,medicine,
"[the approach of the wife and sister] the dust Should have ascended to the roof of heaven, Raised by your populous troops",appearance,matrimony,familial,materials,spatial,religion,military
you [wife and sister] are come A market-maid to Rome,matrimony,familial,economics,social_status,politics,,
his affairs come to me on the wind.,politics,movement,nature,,,,
He has given his empire Up to a whore; who now are levying The kings o' the earth for war,social_relations,politics,sexuality,nature,military,,
my heart parted between two friends That do afflict each other!,anatomy,privation,social_relations,suffering,,,
Cheer your heart;,emotions,anatomy,,,,,
"Be you not troubled with the time, which drives Over your content these strong necessities;",feelings,time,violence,social_relations,suffering,,
let determined things to destiny Hold unbewailed their way.,mental_faculty__state__entities,mystical,preservation,emotions,spatial,,
You are abused Beyond the mark of thought,deception,spatial,mental_faculty__state__entities,,,,
"the high gods, To do you justice, make them ministers Of us and those that love you.",religion,ethics,politics,emotions,,,
Each heart in Rome does love and pity you:,anatomy,politics,emotions,,,,
"gives his potent regiment to a trull, That noises it against us [Rome]",social_relations,politics,sexuality,sounds,resistance,,
"If we should serve with horse and mares together, The horse were merely lost; the mares would bear A soldier and his horse.",military,equestrian,women,privation,labor,,
"Take from his heart, take from his brain, from's time, What should not then be spared.",privation,anatomy,time,,,,
"Sink Rome, and their tongues rot That speak against us!",destruction,politics,anatomy,consumption,language,social_unrest,
"Your mariners are muleters, reapers, people Ingross'd by swift impress",destruction,politics,anatomy,consumption,language,resistance,
my Thetis! [love],myth,emotions,,,,,
do not fight by sea; Trust not to rotten planks,violence,nautical,social_relations,consumption,,,
"With news the time's with labour, and throes forth, Each minute, some.",language,time,reproduction,suffering,,,
To see it [the retreat] mine eyes are blasted.,sensations,military,anatomy,violence,,,
The greater cantle of the world is lost With very ignorance; we have kiss'd away Kingdoms and provinces.,quantities,nature,privation,mental_faculty__state__entities,affection,geography,
"On our side [the fight is] like the token'd pestilence, Where death is sure.",violence,medicine,death,,,,
"in the midst o' the fight, When vantage like a pair of twins appear'd,",spatial,violence,social_relations,familial,appearance,,
"The breeze upon her, like a cow in June, Hoists sails and flies.",nature,animals,time,nautical,danger__safety,,
"Mine eyes did sicken at the sight [the retreat], and could not Endure a further view.",anatomy,medicine,sensations,military,suffering,,
"The noble ruin of her magic, Antony, Claps on his sea-wing, and, ",character_traits__nature,destruction,mystical,sounds,nautical,,
"like a doting mallard, Leaving the fight in height, flies after her:",mental_faculty__state__entities,animals,privation,violence,danger__safety,,
"Our fortune on the sea is out of breath, And sinks most lamentably.",mystical,nature,breathing,destruction,emotions,,
six kings already Show me the way of yielding.,quantities,politics,spatial,social_relations,,,
"I'll yet follow The wounded chance of Antony, though my reason Sits in the wind against me.",devotion,injuries,luck,mental_faculty__state__entities,nature,resistance,
the land bids me tread no more upon it;,nature,commands,movement,privation,,,
It [the land] is ashamed to bear me!,nature,emotions,labor,,,,
I have fled myself; and have instructed cowards To run and show their shoulders,danger__safety,education,character_traits__nature,appearance,anatomy,,
I followed that I blush to look upon:,movement,facial_expressions,sensations,,,,
"My very hairs do mutiny; for the white Reprove the brown for rashness, and they them For fear and doting.",anatomy,social_unrest,colors,etiquette,character_traits__nature,emotions,mental_faculty__state__entities
friends that will Sweep your way for you. ,social_status,cleaning,spatial,,,,
he kept His sword even like a dancer;,preservation,spatial,weapons__armor,joviality,,,
He is unqualitied with very shame.,privation,character_traits__nature,etiquette,,,,
death will seize her,death,hunting__fishing,,,,,
Your comfort makes the rescue.,feelings,assistance,,,,,
I have offended reputation,derision__offense___contempt,recognition,,,,,
How I convey my shame out of your eyes By looking back what I have left behind destroy'd in dishonour.,language,etiquette,anatomy,sensations,privation,spatial,destruction
"My heart was to your rudder tied by the strings, And you shouldst tow me after",anatomy,nautical,incarceration,physical_activities,,,
"Thy full supremacy thou knew'st, and that Thy beck might from the bidding of the gods Command me.",social_relations,mental_faculty__state__entities,commands,religion,,,
